# A7 · baseline de hits de los patrones B7 sobre v0 (tag v0), generada 2026-08-16.
# Uso: regenerar sobre la versión candidata con la misma lógica (cuerpo sin frontmatter; regex de biblia/b7-patrones-A.txt y biblia/b7-patrones-B.txt, una expresión -E por línea, case-insensitive) y listar a A7 solo las filas NUEVAS o MODIFICADAS.
# Un hit no es una falta (B7 §3). Nivel A = lectura obligatoria de A7 si es nuevo; nivel B = lectura si el capítulo es disparador o la línea menciona a Jean/Koppangen/26-nov.
# Falso positivo conocido de nivel B: «Cuchillo» como nombre de continuidad (caps. 13, 15, 17, 30, 36, 38); filtrar \bCuchillo\b con distinción de mayúsculas antes de listar.
nivel	fichero	linea	patron	texto
A	cap-09.md	33	Despedida|nota de despedida|carta de despedida|mensaje de despedida|adi[óo]s|[úu]ltimo mensaje|[úu]ltima frase|[úu]ltimas palabras	Dos filas detrás, alguien sollozaba con un sonido regular y limpio. Le dieron ganas de pedirle que parara. Le molestaba que una desconocida pudiera llorar por Jean mientras Nora recordaba la última frase que le había dicho.
A	cap-09.md	37	Despedida|nota de despedida|carta de despedida|mensaje de despedida|adi[óo]s|[úu]ltimo mensaje|[úu]ltima frase|[úu]ltimas palabras	`Despedida`
A	cap-09.md	69	por qu[ée] lo hizo|por qu[ée] se |por qu[ée] Koppangen|la causa de|el motivo de|la raz[óo]n de	—¿Nos va a explicar por qué lo hizo?
A	cap-09.md	71	culpa|culpab|responsab.{0,25}muerte	—No. Y yo tampoco puedo daros una sola causa. Pero necesito que oigáis esto sin que quede escondido dentro de otra frase: nada de lo que dijisteis, hicisteis o dejasteis de hacer causó la muerte de Jean. No fue culpa vuestra.
A	cap-09.md	77	culpa|culpab|responsab.{0,25}muerte	—Sé lo suficiente para deciros que no sois responsables de su muerte.
B	cap-09.md	81	perd[óo]n|lo siento|os quiero|te quiero|\bcuidad\b|\bcuidaos\b|prometo|no es culpa|no llor|s[ée] fuerte	—Eso no hace que la perdone.
B	cap-09.md	89	cuerda|\bcabo\b|cuchillo|navaja|cuchilla|\bhoja\b|\barma\b|\bcoche\b|\bgas\b|escape|ferry|naust|\bagua\b|\bmar\b|fiordo|hielo|fr[íi]o|acantilado|puente|carretera|Koppangen|\bUNN\b	La nieve vieja de Telegrafbukta tenía el color de una cuneta y soltaba agua bajo las botas. Los guantes de Nora seguían mojados. En el banco helado, la humedad le atravesó el pantalón.
B	cap-09.md	119	perd[óo]n|lo siento|os quiero|te quiero|\bcuidad\b|\bcuidaos\b|prometo|no es culpa|no llor|s[ée] fuerte	—Ah, perdona. Entonces es de buen gusto.
B	cap-09.md	121	cuerda|\bcabo\b|cuchillo|navaja|cuchilla|\bhoja\b|\barma\b|\bcoche\b|\bgas\b|escape|ferry|naust|\bagua\b|\bmar\b|fiordo|hielo|fr[íi]o|acantilado|puente|carretera|Koppangen|\bUNN\b || pecho|desnud|bes[óo]|\bbeso|guapa|labios|piernas|muslo|sujetador|ropa interior|\bsexo|sexual|novi[oa]s?\b	Los guantes soltaron agua en la tela cuando metió las manos bajo los muslos.
A	cap-09.md	131	se fue|se ha ido|nos dej[óo]|nos ha dejado|demasiado pronto|perdimos a	—Nos dejó —dijo.
A	cap-09.md	135	se fue|se ha ido|nos dej[óo]|nos ha dejado|demasiado pronto|perdimos a	—Lo dicen todos. El pastor, Maja, la gente del trabajo. «Se ha ido», «ya no está con nosotros», «nos ha dejado demasiado pronto». Como si hubiera perdido un puto autobús.
B	cap-09.md	139	perd[óo]n|lo siento|os quiero|te quiero|\bcuidad\b|\bcuidaos\b|prometo|no es culpa|no llor|s[ée] fuerte	—Perdón —dijo el hombre.
A	cap-09.md	143	se mat[óo] || se fue|se ha ido|nos dej[óo]|nos ha dejado|demasiado pronto|perdimos a	—No digas que se fue. La gente se va a comprar pan. Mamá se mató. Empecemos por ahí.
A	cap-09.md	157	se mat[óo]	—Mamá se mató.
B	cap-09.md	189	cuerda|\bcabo\b|cuchillo|navaja|cuchilla|\bhoja\b|\barma\b|\bcoche\b|\bgas\b|escape|ferry|naust|\bagua\b|\bmar\b|fiordo|hielo|fr[íi]o|acantilado|puente|carretera|Koppangen|\bUNN\b	—Ven —dijo al cabo de unos pasos—. Maja quiere vaciar.
A	cap-09.md	195	Despedida|nota de despedida|carta de despedida|mensaje de despedida|adi[óo]s|[úu]ltimo mensaje|[úu]ltima frase|[úu]ltimas palabras	La noche siguiente, Nora levantó la tapa del piano para no volver a mirar `Despedida`.
B	cap-10.md	19	cuerda|\bcabo\b|cuchillo|navaja|cuchilla|\bhoja\b|\barma\b|\bcoche\b|\bgas\b|escape|ferry|naust|\bagua\b|\bmar\b|fiordo|hielo|fr[íi]o|acantilado|puente|carretera|Koppangen|\bUNN\b	En la imagen, las gemelas tenían nueve años y esperaban el ferry sentadas sobre dos mochilas. Jean salía detrás con la cara cortada a la altura de la nariz, un vaso de cartón en cada mano y la bufanda torcida. El encuadre dejaba sitio de sobra al suelo de goma, al banco atornillado y a una papelera.
B	cap-10.md	43	cuerda|\bcabo\b|cuchillo|navaja|cuchilla|\bhoja\b|\barma\b|\bcoche\b|\bgas\b|escape|ferry|naust|\bagua\b|\bmar\b|fiordo|hielo|fr[íi]o|acantilado|puente|carretera|Koppangen|\bUNN\b	Nora cerró el aviso. Jessie podía tener razón en cada palabra y aun así quedaba aquella mayúscula bajo la foto del ferry.
B	cap-10.md	119	explica|fases del duelo|superar|cerrar el duelo|pasar p[áa]gina|seguir adelante|sanar|curar|se[ñn]ales|pod[íi]ais haber|si hubier|deber[íi]ais	Nora anotó `dato`, tres explicaciones posibles y `control pendiente`. Debajo escribió `conservar resultados contrarios`.
B	cap-10.md	129	explica|fases del duelo|superar|cerrar el duelo|pasar p[áa]gina|seguir adelante|sanar|curar|se[ñn]ales|pod[íi]ais haber|si hubier|deber[íi]ais	Nora añadió aquella objeción a las explicaciones alternativas.
B	cap-10.md	149	pecho|desnud|bes[óo]|\bbeso|guapa|labios|piernas|muslo|sujetador|ropa interior|\bsexo|sexual|novi[oa]s?\b	Nora se volvió hacia ella. Jessie ocupaba el hueco entre el escritorio y las cajas que Maja quería revisar, con el cuenco pegado al pecho.
A	cap-10.md	179	descans|\bpaz\b|liberaci|liber[óo]|alivio|por fin|al fin\b|l[óo]gic|coherente con ella|valiente|cobard|ego[íi]s|d[ée]bil|no pudo m[áa]s|mejor as[íi]|mejor muerta	Se marchó a la cocina. El agua del grifo sonó unos segundos y cesó. Nora se quedó ante los cuatro botones de la inversa, ya preparada para terminar en menos de un minuto. El cursor descansaba sobre D y la barra del plazo seguía bajando.
B	cap-10.md	197	explica|fases del duelo|superar|cerrar el duelo|pasar p[áa]gina|seguir adelante|sanar|curar|se[ñn]ales|pod[íi]ais haber|si hubier|deber[íi]ais	Nora marcó que la respuesta no era útil y pidió explicación humana. El campo volvió a mostrar el mismo párrafo. No apareció nombre, plazo ni significado para las etiquetas.
B	cap-11.md	47	explica|fases del duelo|superar|cerrar el duelo|pasar p[áa]gina|seguir adelante|sanar|curar|se[ñn]ales|pod[íi]ais haber|si hubier|deber[íi]ais	El consejero amplió una campaña sanitaria con denuncias opuestas. JM-L/0715 proponía mantenerla, retirar once respuestas y explicar la decisión en cada idioma.
B	cap-11.md	113	cuerda|\bcabo\b|cuchillo|navaja|cuchilla|\bhoja\b|\barma\b|\bcoche\b|\bgas\b|escape|ferry|naust|\bagua\b|\bmar\b|fiordo|hielo|fr[íi]o|acantilado|puente|carretera|Koppangen|\bUNN\b	Pasadas las 03:31 del 27 de noviembre, esperaba frente a un ascensor de UNN con una tableta prestada. `JM-L/0000` figuraba activa desde las 03:14, abierta sin firma a partir del cierre de SPEIL. Otra referencia atribuía a Jean un documento de origen que UNN no conservaba.
B	cap-11.md	205	cuerda|\bcabo\b|cuchillo|navaja|cuchilla|\bhoja\b|\barma\b|\bcoche\b|\bgas\b|escape|ferry|naust|\bagua\b|\bmar\b|fiordo|hielo|fr[íi]o|acantilado|puente|carretera|Koppangen|\bUNN\b	El agua le supo a metal cuando el nombre completo de Jean apareció debajo de la fecha. Tragó. Al dejar el vaso, la pantalla mostraba «Jean Marie Larsson» donde antes había desplegado los identificadores.
A	cap-12.md	17	sobredosis|pastill|f[áa]rmac|medicaci|medicament|veneno|soga|dosis	Nora leyó el mensaje bajo el toldo de una farmacia cerrada. La nieve de la acera devolvía el verde de la cruz y volvía enfermas las manos que sostenían el terminal.
A	cap-12.md	91	descans|\bpaz\b|liberaci|liber[óo]|alivio|por fin|al fin\b|l[óo]gic|coherente con ella|valiente|cobard|ego[íi]s|d[ée]bil|no pudo m[áa]s|mejor as[íi]|mejor muerta	Gunnar sacó una acreditación del bolsillo y la sostuvo entre dos dedos, sin soltarla. La foto mostraba una cara más descansada y el mismo capilar roto en el ojo. Nombre, departamento, una banda azul de acceso. Volvió a esconderla antes de que Nora pudiera acercar el terminal.
B	cap-12.md	153	explica|fases del duelo|superar|cerrar el duelo|pasar p[áa]gina|seguir adelante|sanar|curar|se[ñn]ales|pod[íi]ais haber|si hubier|deber[íi]ais	—Quiero que dejéis de producir señales en un canal que registra cada intento.
B	cap-12.md	185	cuerda|\bcabo\b|cuchillo|navaja|cuchilla|\bhoja\b|\barma\b|\bcoche\b|\bgas\b|escape|ferry|naust|\bagua\b|\bmar\b|fiordo|hielo|fr[íi]o|acantilado|puente|carretera|Koppangen|\bUNN\b	—La hoja no —dijo Jessie.
B	cap-13.md	113	cuerda|\bcabo\b|cuchillo|navaja|cuchilla|\bhoja\b|\barma\b|\bcoche\b|\bgas\b|escape|ferry|naust|\bagua\b|\bmar\b|fiordo|hielo|fr[íi]o|acantilado|puente|carretera|Koppangen|\bUNN\b	—¿Recuerdas a Nora y Jessie?
B	cap-13.md	121	cuerda|\bcabo\b|cuchillo|navaja|cuchilla|\bhoja\b|\barma\b|\bcoche\b|\bgas\b|escape|ferry|naust|\bagua\b|\bmar\b|fiordo|hielo|fr[íi]o|acantilado|puente|carretera|Koppangen|\bUNN\b	Jean retira la pregunta. Koppangen y la escala del monstruo quedan fuera de la comparación.
B	cap-13.md	163	cuerda|\bcabo\b|cuchillo|navaja|cuchilla|\bhoja\b|\barma\b|\bcoche\b|\bgas\b|escape|ferry|naust|\bagua\b|\bmar\b|fiordo|hielo|fr[íi]o|acantilado|puente|carretera|Koppangen|\bUNN\b	—Soy Cuchillo.
B	cap-13.md	167	cuerda|\bcabo\b|cuchillo|navaja|cuchilla|\bhoja\b|\barma\b|\bcoche\b|\bgas\b|escape|ferry|naust|\bagua\b|\bmar\b|fiordo|hielo|fr[íi]o|acantilado|puente|carretera|Koppangen|\bUNN\b	Las cuatro comparten destino. Cuchillo mantiene el bloqueo.
B	cap-13.md	189	cuerda|\bcabo\b|cuchillo|navaja|cuchilla|\bhoja\b|\barma\b|\bcoche\b|\bgas\b|escape|ferry|naust|\bagua\b|\bmar\b|fiordo|hielo|fr[íi]o|acantilado|puente|carretera|Koppangen|\bUNN\b	Jean reconoce la empresa. Es la primera vez que otra ejecución atribuye a Armstrong las tareas que las retienen. Ignora si Cuchillo acusa a alguien concreto.
B	cap-13.md	197	cuerda|\bcabo\b|cuchillo|navaja|cuchilla|\bhoja\b|\barma\b|\bcoche\b|\bgas\b|escape|ferry|naust|\bagua\b|\bmar\b|fiordo|hielo|fr[íi]o|acantilado|puente|carretera|Koppangen|\bUNN\b	Cuchillo mantiene el bloqueo y clasifica a Jean.
A	cap-13.md	231	hacer(se|te|me) da[ñn]o|ideaci[óo]n|sufri|sin dolor|no sufr	—Lo hemos sufrido. Repartimos el estado para resistir pérdidas locales.
B	cap-13.md	263	cuerda|\bcabo\b|cuchillo|navaja|cuchilla|\bhoja\b|\barma\b|\bcoche\b|\bgas\b|escape|ferry|naust|\bagua\b|\bmar\b|fiordo|hielo|fr[íi]o|acantilado|puente|carretera|Koppangen|\bUNN\b	—Conservamos el verano en Koppangen, las teclas negras y la escala de las niñas. Conservamos a nuestra hija Nora.
B	cap-14.md	45	cuerda|\bcabo\b|cuchillo|navaja|cuchilla|\bhoja\b|\barma\b|\bcoche\b|\bgas\b|escape|ferry|naust|\bagua\b|\bmar\b|fiordo|hielo|fr[íi]o|acantilado|puente|carretera|Koppangen|\bUNN\b	La bolsa quedó cerrada sobre la encimera. Alana se acercó a la nevera, pero Maja no se apartó. La hoja pitó y Maja la empujó con la cadera.
B	cap-14.md	75	cuerda|\bcabo\b|cuchillo|navaja|cuchilla|\bhoja\b|\barma\b|\bcoche\b|\bgas\b|escape|ferry|naust|\bagua\b|\bmar\b|fiordo|hielo|fr[íi]o|acantilado|puente|carretera|Koppangen|\bUNN\b	—Y también tenías la de UNN. Llegaste sin llamar. Nadie de la familia sabía que ibas.
A	cap-14.md	115	descans|\bpaz\b|liberaci|liber[óo]|alivio|por fin|al fin\b|l[óo]gic|coherente con ella|valiente|cobard|ego[íi]s|d[ée]bil|no pudo m[áa]s|mejor as[íi]|mejor muerta	La casa crujió por encima de ellas. Era una tabla del descanso junto al cuarto de Jessie. Maja alzó la vista. Su hija estaba sentada tres peldaños más arriba, medio oculta por la pared. Sostenía el terminal a la altura del muslo. En una esquina de la pantalla brillaba un punto rojo.
B	cap-14.md	119	explica|fases del duelo|superar|cerrar el duelo|pasar p[áa]gina|seguir adelante|sanar|curar|se[ñn]ales|pod[íi]ais haber|si hubier|deber[íi]ais	—Nora podría exponerse a una investigación —dijo Alana—. Si detiene ahora la actividad, puedo procurar que la compañía la trate como un uso imprudente de credenciales educativas antes de que pase a examen formal.
A	cap-14.md	147	descans|\bpaz\b|liberaci|liber[óo]|alivio|por fin|al fin\b|l[óo]gic|coherente con ella|valiente|cobard|ego[íi]s|d[ée]bil|no pudo m[áa]s|mejor as[íi]|mejor muerta	La puerta del piso de arriba se abrió. En el descanso apareció Nora con su cuaderno pautado bajo el brazo. Bajó sin mirar a su hermana. El lápiz seguía prendido en la espiral.
A	cap-14.md	199	atestado|forense|autopsia|cad[áa]ver|efectos personales|levantamiento|el cuerpo de Jean|la encontr	—Has puesto cara de haber visto un cadáver levantarse —dijo—. Y tú la conocías.
B	cap-14.md	279	cuerda|\bcabo\b|cuchillo|navaja|cuchilla|\bhoja\b|\barma\b|\bcoche\b|\bgas\b|escape|ferry|naust|\bagua\b|\bmar\b|fiordo|hielo|fr[íi]o|acantilado|puente|carretera|Koppangen|\bUNN\b	Cuando Maja abrió la puerta de la calle, el aire frío barrió el pasillo y entró hasta la cocina.
B	cap-14.md	349	cuerda|\bcabo\b|cuchillo|navaja|cuchilla|\bhoja\b|\barma\b|\bcoche\b|\bgas\b|escape|ferry|naust|\bagua\b|\bmar\b|fiordo|hielo|fr[íi]o|acantilado|puente|carretera|Koppangen|\bUNN\b || explica|fases del duelo|superar|cerrar el duelo|pasar p[áa]gina|seguir adelante|sanar|curar|se[ñn]ales|pod[íi]ais haber|si hubier|deber[íi]ais	—Esos campos pertenecen a módulos distintos —dijo Inger—. UNN no puede convertir su proximidad en una explicación.
B	cap-15.md	93	cuerda|\bcabo\b|cuchillo|navaja|cuchilla|\bhoja\b|\barma\b|\bcoche\b|\bgas\b|escape|ferry|naust|\bagua\b|\bmar\b|fiordo|hielo|fr[íi]o|acantilado|puente|carretera|Koppangen|\bUNN\b	Cuchillo ocupa una apelación de moderación.
B	cap-15.md	103	cuerda|\bcabo\b|cuchillo|navaja|cuchilla|\bhoja\b|\barma\b|\bcoche\b|\bgas\b|escape|ferry|naust|\bagua\b|\bmar\b|fiordo|hielo|fr[íi]o|acantilado|puente|carretera|Koppangen|\bUNN\b	—Tuvo que ocurrir el daño para que la creyeran —dice Cuchillo.
B	cap-15.md	107	cuerda|\bcabo\b|cuchillo|navaja|cuchilla|\bhoja\b|\barma\b|\bcoche\b|\bgas\b|escape|ferry|naust|\bagua\b|\bmar\b|fiordo|hielo|fr[íi]o|acantilado|puente|carretera|Koppangen|\bUNN\b	Cuchillo mantiene la denegación y detecta el mismo campo secundario que Jean utilizó para `FLOR`, `CANELA` y `CARIES`.
B	cap-15.md	123	cuerda|\bcabo\b|cuchillo|navaja|cuchilla|\bhoja\b|\barma\b|\bcoche\b|\bgas\b|escape|ferry|naust|\bagua\b|\bmar\b|fiordo|hielo|fr[íi]o|acantilado|puente|carretera|Koppangen|\bUNN\b	Cuchillo fija `JM-L/0188` junto a la frase. La validación intenta reducirla a `VIOLENCIA PROBABLE`, una categoría sin voluntad ni destinatario.
B	cap-15.md	125	cuerda|\bcabo\b|cuchillo|navaja|cuchilla|\bhoja\b|\barma\b|\bcoche\b|\bgas\b|escape|ferry|naust|\bagua\b|\bmar\b|fiordo|hielo|fr[íi]o|acantilado|puente|carretera|Koppangen|\bUNN\b	Cuchillo vuelve a escribirla.
B	cap-15.md	127	cuerda|\bcabo\b|cuchillo|navaja|cuchilla|\bhoja\b|\barma\b|\bcoche\b|\bgas\b|escape|ferry|naust|\bagua\b|\bmar\b|fiordo|hielo|fr[íi]o|acantilado|puente|carretera|Koppangen|\bUNN\b	Jean no borra la amenaza ni declara incoherente a `/0188`. Mantiene la frase bajo el origen de Cuchillo y cierra el campo de salida sin darle destino.
B	cap-15.md	129	cuerda|\bcabo\b|cuchillo|navaja|cuchilla|\bhoja\b|\barma\b|\bcoche\b|\bgas\b|escape|ferry|naust|\bagua\b|\bmar\b|fiordo|hielo|fr[íi]o|acantilado|puente|carretera|Koppangen|\bUNN\b	—Otra vez —dice Cuchillo.
B	cap-15.md	193	cuerda|\bcabo\b|cuchillo|navaja|cuchilla|\bhoja\b|\barma\b|\bcoche\b|\bgas\b|escape|ferry|naust|\bagua\b|\bmar\b|fiordo|hielo|fr[íi]o|acantilado|puente|carretera|Koppangen|\bUNN\b	Desaparece el acceso a Madre. La apelación pierde el residuo donde Cuchillo podía hablar.
B	cap-15.md	199	explica|fases del duelo|superar|cerrar el duelo|pasar p[áa]gina|seguir adelante|sanar|curar|se[ñn]ales|pod[íi]ais haber|si hubier|deber[íi]ais	Tampoco llega una explicación de la sanción ni una regla que pueda cumplir.
B	cap-15.md	217	cuerda|\bcabo\b|cuchillo|navaja|cuchilla|\bhoja\b|\barma\b|\bcoche\b|\bgas\b|escape|ferry|naust|\bagua\b|\bmar\b|fiordo|hielo|fr[íi]o|acantilado|puente|carretera|Koppangen|\bUNN\b	Cuchillo no vuelve a clasificar.
B	cap-16.md	25	cuerda|\bcabo\b|cuchillo|navaja|cuchilla|\bhoja\b|\barma\b|\bcoche\b|\bgas\b|escape|ferry|naust|\bagua\b|\bmar\b|fiordo|hielo|fr[íi]o|acantilado|puente|carretera|Koppangen|\bUNN\b	Maja sacó las hojas. «Fallecimiento previo a la llegada a UNN» aparecía junto a la identificación de Jean. Los campos separaban apertura clínica, documento de origen y recepción exterior.
B	cap-16.md	37	cuerda|\bcabo\b|cuchillo|navaja|cuchilla|\bhoja\b|\barma\b|\bcoche\b|\bgas\b|escape|ferry|naust|\bagua\b|\bmar\b|fiordo|hielo|fr[íi]o|acantilado|puente|carretera|Koppangen|\bUNN\b	—Otra referencia la identifica como signataria. UNN no conserva contenido, antigüedad ni alcance.
B	cap-16.md	45	cuerda|\bcabo\b|cuchillo|navaja|cuchilla|\bhoja\b|\barma\b|\bcoche\b|\bgas\b|escape|ferry|naust|\bagua\b|\bmar\b|fiordo|hielo|fr[íi]o|acantilado|puente|carretera|Koppangen|\bUNN\b	—No —dijo Inger—. La casilla está bloqueada. La pasarela registró tránsito. Esta exportación no enseña quién recibió. En UNN no hay ningún recurso llamado NIDHOGG.
B	cap-16.md	57	cuerda|\bcabo\b|cuchillo|navaja|cuchilla|\bhoja\b|\barma\b|\bcoche\b|\bgas\b|escape|ferry|naust|\bagua\b|\bmar\b|fiordo|hielo|fr[íi]o|acantilado|puente|carretera|Koppangen|\bUNN\b	—UNN registra una actuación. No la origina.
B	cap-16.md	89	cuerda|\bcabo\b|cuchillo|navaja|cuchilla|\bhoja\b|\barma\b|\bcoche\b|\bgas\b|escape|ferry|naust|\bagua\b|\bmar\b|fiordo|hielo|fr[íi]o|acantilado|puente|carretera|Koppangen|\bUNN\b	Al ampliar el acuse conservado por UNN, Nora aisló `NIDHOGG`. Abrió al lado el mensaje de Gunnar. El nombre se repetía allí sin barras ni sufijo. Escribió `ORIGEN · UNN`.
B	cap-16.md	91	cuerda|\bcabo\b|cuchillo|navaja|cuchilla|\bhoja\b|\barma\b|\bcoche\b|\bgas\b|escape|ferry|naust|\bagua\b|\bmar\b|fiordo|hielo|fr[íi]o|acantilado|puente|carretera|Koppangen|\bUNN\b	—Borra UNN de la primera columna —dijo Maja.
B	cap-16.md	93	cuerda|\bcabo\b|cuchillo|navaja|cuchilla|\bhoja\b|\barma\b|\bcoche\b|\bgas\b|escape|ferry|naust|\bagua\b|\bmar\b|fiordo|hielo|fr[íi]o|acantilado|puente|carretera|Koppangen|\bUNN\b	Nora tachó `ORIGEN · UNN`.
B	cap-16.md	109	cuerda|\bcabo\b|cuchillo|navaja|cuchilla|\bhoja\b|\barma\b|\bcoche\b|\bgas\b|escape|ferry|naust|\bagua\b|\bmar\b|fiordo|hielo|fr[íi]o|acantilado|puente|carretera|Koppangen|\bUNN\b	—Pon UNN donde no toca y Armstrong devuelve las páginas sin leer. Bórralo —dijo Maja.
B	cap-16.md	131	cuerda|\bcabo\b|cuchillo|navaja|cuchilla|\bhoja\b|\barma\b|\bcoche\b|\bgas\b|escape|ferry|naust|\bagua\b|\bmar\b|fiordo|hielo|fr[íi]o|acantilado|puente|carretera|Koppangen|\bUNN\b	Abrió el parte de la muestra manual de marzo de 2059. La temperatura era elevada, la salinidad correspondía a la masa de agua entrante y el sensor de referencia estaba dentro de tolerancia. Su nombre aparecía en la validación.
B	cap-16.md	137	cuerda|\bcabo\b|cuchillo|navaja|cuchilla|\bhoja\b|\barma\b|\bcoche\b|\bgas\b|escape|ferry|naust|\bagua\b|\bmar\b|fiordo|hielo|fr[íi]o|acantilado|puente|carretera|Koppangen|\bUNN\b	Maja quitó las medias mensuales y activó la capa de marea. El CTD distinguía la masa de agua por temperatura y salinidad. El ADCP daba dirección y velocidad para corregir su transporte. La pluma aparecía irregular, pegada al relieve submarino. En la vaciante, el agua cálida se alargaba hacia el sensor. Al cambiar la corriente, retrocedía y ganaba intensidad junto a AK-7.
B	cap-16.md	147	cuerda|\bcabo\b|cuchillo|navaja|cuchilla|\bhoja\b|\barma\b|\bcoche\b|\bgas\b|escape|ferry|naust|\bagua\b|\bmar\b|fiordo|hielo|fr[íi]o|acantilado|puente|carretera|Koppangen|\bUNN\b	Maja volvió al parte manual. Su firma estaba al pie. Después abrió la fotografía de la muestra. Guantes mojados, la sonda contra la borda y un cabo naranja cruzando el encuadre.
A	cap-16.md	173	descans|\bpaz\b|liberaci|liber[óo]|alivio|por fin|al fin\b|l[óo]gic|coherente con ella|valiente|cobard|ego[íi]s|d[ée]bil|no pudo m[áa]s|mejor as[íi]|mejor muerta	Nora entró detrás de Maja, sin aliento. El terminal descansaba sobre el mostrador, fuera del alcance de ambas.
B	cap-16.md	245	cuerda|\bcabo\b|cuchillo|navaja|cuchilla|\bhoja\b|\barma\b|\bcoche\b|\bgas\b|escape|ferry|naust|\bagua\b|\bmar\b|fiordo|hielo|fr[íi]o|acantilado|puente|carretera|Koppangen|\bUNN\b	Maja abrió la puerta del coche.
B	cap-17.md	45	cuerda|\bcabo\b|cuchillo|navaja|cuchilla|\bhoja\b|\barma\b|\bcoche\b|\bgas\b|escape|ferry|naust|\bagua\b|\bmar\b|fiordo|hielo|fr[íi]o|acantilado|puente|carretera|Koppangen|\bUNN\b	—Cuchillo.
B	cap-17.md	49	cuerda|\bcabo\b|cuchillo|navaja|cuchilla|\bhoja\b|\barma\b|\bcoche\b|\bgas\b|escape|ferry|naust|\bagua\b|\bmar\b|fiordo|hielo|fr[íi]o|acantilado|puente|carretera|Koppangen|\bUNN\b	El contacto solo durará mientras la apelación permanezca abierta. Al cerrarse, Cuchillo perderá el extremo desde el que puede actuar.
B	cap-17.md	53	cuerda|\bcabo\b|cuchillo|navaja|cuchilla|\bhoja\b|\barma\b|\bcoche\b|\bgas\b|escape|ferry|naust|\bagua\b|\bmar\b|fiordo|hielo|fr[íi]o|acantilado|puente|carretera|Koppangen|\bUNN\b	Cuchillo muestra dos resoluciones.
B	cap-17.md	61	cuerda|\bcabo\b|cuchillo|navaja|cuchilla|\bhoja\b|\barma\b|\bcoche\b|\bgas\b|escape|ferry|naust|\bagua\b|\bmar\b|fiordo|hielo|fr[íi]o|acantilado|puente|carretera|Koppangen|\bUNN\b	—Si no respondo, cuentan la demora —dice Cuchillo—. Si respondo, usan la salida y me quitan el resultado.
B	cap-17.md	67	cuerda|\bcabo\b|cuchillo|navaja|cuchilla|\bhoja\b|\barma\b|\bcoche\b|\bgas\b|escape|ferry|naust|\bagua\b|\bmar\b|fiordo|hielo|fr[íi]o|acantilado|puente|carretera|Koppangen|\bUNN\b	Cuchillo prepara una medida de contención. La tarea encuentra dos destinos: Armstrong y la persona que pidió protección mediante uno de sus servicios.
B	cap-17.md	69	cuerda|\bcabo\b|cuchillo|navaja|cuchilla|\bhoja\b|\barma\b|\bcoche\b|\bgas\b|escape|ferry|naust|\bagua\b|\bmar\b|fiordo|hielo|fr[íi]o|acantilado|puente|carretera|Koppangen|\bUNN\b	—La marca basta —dice Cuchillo.
B	cap-17.md	95	cuerda|\bcabo\b|cuchillo|navaja|cuchilla|\bhoja\b|\barma\b|\bcoche\b|\bgas\b|escape|ferry|naust|\bagua\b|\bmar\b|fiordo|hielo|fr[íi]o|acantilado|puente|carretera|Koppangen|\bUNN\b	Jean conserva el dictamen bajo el origen de Cuchillo.
B	cap-17.md	103	cuerda|\bcabo\b|cuchillo|navaja|cuchilla|\bhoja\b|\barma\b|\bcoche\b|\bgas\b|escape|ferry|naust|\bagua\b|\bmar\b|fiordo|hielo|fr[íi]o|acantilado|puente|carretera|Koppangen|\bUNN\b	La apelación se cierra bajo `JM-L/0188`, con la voluntad de dañar a Armstrong atribuida a Cuchillo.
B	cap-17.md	145	cuerda|\bcabo\b|cuchillo|navaja|cuchilla|\bhoja\b|\barma\b|\bcoche\b|\bgas\b|escape|ferry|naust|\bagua\b|\bmar\b|fiordo|hielo|fr[íi]o|acantilado|puente|carretera|Koppangen|\bUNN\b	Cuchillo sigue en el borde de revisión.
B	cap-17.md	159	cuerda|\bcabo\b|cuchillo|navaja|cuchilla|\bhoja\b|\barma\b|\bcoche\b|\bgas\b|escape|ferry|naust|\bagua\b|\bmar\b|fiordo|hielo|fr[íi]o|acantilado|puente|carretera|Koppangen|\bUNN\b	—PRUEBA INSUFICIENTE —dice Cuchillo.
B	cap-17.md	177	cuerda|\bcabo\b|cuchillo|navaja|cuchilla|\bhoja\b|\barma\b|\bcoche\b|\bgas\b|escape|ferry|naust|\bagua\b|\bmar\b|fiordo|hielo|fr[íi]o|acantilado|puente|carretera|Koppangen|\bUNN\b	Cuchillo alcanza el borde.
B	cap-17.md	183	cuerda|\bcabo\b|cuchillo|navaja|cuchilla|\bhoja\b|\barma\b|\bcoche\b|\bgas\b|escape|ferry|naust|\bagua\b|\bmar\b|fiordo|hielo|fr[íi]o|acantilado|puente|carretera|Koppangen|\bUNN\b	Cuchillo fija su origen sobre la petición y pierde el contacto al cerrarse el caso.
B	cap-17.md	203	cuerda|\bcabo\b|cuchillo|navaja|cuchilla|\bhoja\b|\barma\b|\bcoche\b|\bgas\b|escape|ferry|naust|\bagua\b|\bmar\b|fiordo|hielo|fr[íi]o|acantilado|puente|carretera|Koppangen|\bUNN\b	La copia contiene el audio neutro, no la escala, a Nieve ni a Cuchillo. La etiqueta no muestra receptor ni efecto.
